Date [mm/dd] Start Time [hh:mm:ss],Iter_Duration [ms],C_CH4 [ppm],C_H2S [ppm],RH [%],T [C]
2025-06-07 17:39:00,947006,2.1,0,100,15
2025-06-07 17:55:00,947011,6.0,0,100,15
2025-06-07 18:11:00,947007,29.0,0,100,15
2025-06-07 18:27:00,947012,52.0,0,100,15
2025-06-07 18:43:00,947001,71.0,0,100,15
2025-06-07 18:59:00,947012,210.0,0,100,15
2025-06-07 19:15:00,947008,345.0,0,100,15
2025-06-07 19:31:00,947003,480.0,0,100,15
2025-06-07 19:47:00,947012,615.0,0,100,15
2025-06-07 20:03:00,947001,750.0,0,100,15
2025-06-07 20:19:00,947004,1670.0,0,100,15
2025-06-07 20:35:00,946997,2590.0,0,100,15
2025-06-07 20:51:00,947002,3510.0,0,100,15
2025-06-07 21:07:00,947011,2.1,0,0,15
2025-06-07 21:23:00,947006,6.0,0,0,15
2025-06-07 21:39:00,947000,29.0,0,0,15
2025-06-07 21:55:00,947003,52.0,0,0,15
2025-06-07 22:11:00,947009,71.0,0,0,15
2025-06-07 22:27:00,947009,210.0,0,0,15
2025-06-07 22:43:00,947010,345.0,0,0,15
2025-06-07 22:59:00,947005,480.0,0,0,15
2025-06-07 23:15:00,947001,615.0,0,0,15
2025-06-07 23:31:00,947003,750.0,0,0,15
2025-06-07 23:47:00,947010,1670.0,0,0,15
2025-06-08 00:03:00,947009,2590.0,0,0,15
2025-06-08 00:19:00,947007,3510.0,0,0,15
2025-06-08 00:35:00,946996,2.1,0,35,15
2025-06-08 00:51:00,947007,6.0,0,35,15
2025-06-08 01:07:00,947010,29.0,0,35,15
2025-06-08 01:23:00,946997,52.0,0,35,15
2025-06-08 01:39:00,947006,71.0,0,35,15
2025-06-08 01:55:00,947013,210.0,0,35,15
2025-06-08 02:11:00,947009,345.0,0,35,15
2025-06-08 02:27:00,947002,480.0,0,35,15
2025-06-08 02:43:00,947008,615.0,0,35,15
2025-06-08 02:59:00,947006,750.0,0,35,15
2025-06-08 03:15:00,947008,1670.0,0,35,15
2025-06-08 03:31:00,947008,2590.0,0,35,15
2025-06-08 03:47:00,947010,3510.0,0,35,15
2025-06-08 04:03:00,946999,2.1,0,65,15
2025-06-08 04:19:00,947010,6.0,0,65,15
2025-06-08 04:35:00,947006,29.0,0,65,15
2025-06-08 04:51:00,947013,52.0,0,65,15
2025-06-08 05:07:00,947006,71.0,0,65,15
2025-06-08 05:23:00,947005,210.0,0,65,15
2025-06-08 05:39:00,946999,345.0,0,65,15
2025-06-08 05:55:00,947001,480.0,0,65,15
2025-06-08 06:11:00,947005,615.0,0,65,15
2025-06-08 06:27:00,947004,750.0,0,65,15
2025-06-08 06:43:00,947009,1670.0,0,65,15
2025-06-08 06:59:00,947011,2590.0,0,65,15
2025-06-08 07:15:00,946997,3510.0,0,65,15
2025-06-08 07:31:00,946999,2.1,0,100,15
2025-06-08 07:47:00,947007,6.0,0,100,15
2025-06-08 08:03:00,947012,29.0,0,100,15
2025-06-08 08:19:00,947009,52.0,0,100,15
2025-06-08 08:35:00,947004,71.0,0,100,15
2025-06-08 08:51:00,946999,210.0,0,100,15
2025-06-08 09:07:00,947011,345.0,0,100,15
2025-06-08 12:17:00,0,2.1,0,0,5
2025-06-08 12:33:00,947000,2.1,0,0,5
2025-06-08 12:49:00,947000,5.0,0,0,5
2025-06-08 13:05:00,947000,8.0,0,0,5
2025-06-08 13:21:00,947000,29.0,0,0,5
2025-06-08 13:37:00,947000,52.0,0,0,5
2025-06-08 13:53:00,947000,71.0,0,0,5
2025-06-08 14:09:00,947000,210.0,0,0,5
2025-06-08 14:25:00,947000,345.0,0,0,5
2025-06-08 14:41:00,947000,480.0,0,0,5
2025-06-08 14:57:00,947000,615.0,0,0,5
2025-06-08 15:13:00,947000,750.0,0,0,5
2025-06-08 15:29:00,947000,1670.0,0,0,5
2025-06-08 15:45:00,947001,3510.0,0,0,5
2025-06-08 16:01:00,947001,2.1,0,35,5
2025-06-08 16:17:00,947000,5.0,0,35,5
2025-06-08 16:33:00,947000,8.0,0,35,5
2025-06-08 16:49:00,947000,29.0,0,35,5
2025-06-08 17:05:00,947000,52.0,0,35,5
2025-06-08 17:21:00,947000,71.0,0,35,5
2025-06-08 17:37:00,947000,210.0,0,35,5
2025-06-08 17:53:00,947000,345.0,0,35,5
2025-06-08 18:09:00,947001,480.0,0,35,5
2025-06-08 18:25:00,947000,615.0,0,35,5
2025-06-08 18:41:00,947000,750.0,0,35,5
2025-06-08 18:57:00,947000,1670.0,0,35,5
2025-06-08 19:13:00,947000,3510.0,0,35,5
2025-06-08 19:29:00,947000,2.1,0,65,5
2025-06-08 19:45:00,947000,5.0,0,65,5
2025-06-08 20:01:00,947000,8.0,0,65,5
2025-06-08 20:17:00,947000,29.0,0,65,5
2025-06-08 20:33:00,947000,52.0,0,65,5
2025-06-08 20:49:00,947000,71.0,0,65,5
2025-06-08 21:05:00,947000,210.0,0,65,5
2025-06-08 21:21:00,947000,345.0,0,65,5
2025-06-08 21:37:00,947000,480.0,0,65,5
2025-06-08 21:53:00,947000,615.0,0,65,5
2025-06-08 22:09:00,947000,750.0,0,65,5
